 train         node      observed        predicted
     y             1    9.889287E-02    2.228488E-01
     y             1    5.507760E-01    2.103043E-01
     y             1   -1.991151E-01    1.898287E-01
     n             1              NA    2.435594E-01
     y             1    1.255716E-01    1.101519E-01
     y             1    2.033444E-01    2.355576E-01
     y             1    3.427710E-01    2.594892E-01
     y             1    9.272109E-02    1.390920E-01
     y             1    7.315519E-01    9.414973E-03
     y             1    3.019575E-01    2.204042E-02
     y             1    2.697068E-01    1.124768E-01
     y             1    4.790388E-01    3.742352E-02
     y             1    2.162652E-01    1.251476E-01
     y             1    3.080014E-01    8.290655E-02
     y             1    3.393837E-01    1.010123E-01
     n             1              NA    1.936245E-01
     y             1    2.700247E-01    1.783691E-01
     y             1   -1.052640E-01    6.359940E-02
     y             1    2.224903E-04    1.455818E-01
     y             1   -8.398561E-02    2.333025E-01
     y             1    4.667940E-01    1.452732E-01
     y             1   -1.921721E-01    4.160950E-02
     y             1    1.100124E-01    1.863550E-01
     y             1    8.948242E-01    4.529886E-01
     y             1    6.025426E-01    9.063115E-02
     y             1   -6.178907E-02    1.740196E-01
     n             1              NA    2.487408E-01
     y             1    5.172253E-01    1.157259E-01
     y             1    4.564742E-01    1.944518E-01
     y             1    1.375328E-01    1.368206E-01
     y             1    3.286071E-02    1.109245E-01
     y             1    2.552706E-01    2.336809E-01
     y             1    2.237340E-01    2.112000E-01
     y             1   -1.402322E-01    8.217405E-03
     y             1   -4.660781E-01    1.129493E-01
     y             1    5.574045E-01    1.536828E-01
     y             1   -1.584204E-01    2.274597E-01
     y             1   -3.113253E-02    8.455689E-02
     y             1    2.031289E-01    6.562529E-02
     y             1    5.896766E-01    1.951083E-01
     y             1    1.773986E-01    1.608684E-01
     y             1   -2.354217E-02    1.278367E-01
     y             1    4.866209E-01    1.138036E-01
     y             1    5.210915E-02    1.793955E-01
     y             1    3.139471E-01    3.065464E-02
     y             1   -4.339101E-01    1.887306E-01
     y             1   -8.462137E-02    2.334044E-01
     y             1   -3.719086E-02    1.791350E-01
     y             1    1.081950E+00    4.948395E-02
     y             1   -2.138698E-01    1.246654E-01
     y             1    3.611493E-01    1.937837E-01
     y             1    2.440325E-01    1.757335E-01
     y             1    5.058108E-01    2.709611E-01
     n             1              NA    2.234420E-01
     y             1   -3.793859E-02    2.729383E-01
     y             1    1.321283E-01    1.389928E-01
     y             1    9.850435E-01    2.457381E-01
     y             1    5.305252E-01    2.495603E-01
     y             1    7.691795E-01    7.412844E-02
     y             1    2.826190E-01    2.123497E-01
     y             1    3.862118E-01    1.167152E-01
     y             1   -3.134852E-01    1.363250E-01
     y             1   -4.073121E-01    3.712024E-02
     y             1    6.431167E-02    1.927971E-01
     y             1    2.926378E-01    9.757440E-02
